ID	NAME	SECONDARY ID	FORMULA	MASS	SMILES	PDB ACCESSION
CHEBI:67594	stigmast-5-ene-3beta,7alpha-diol		C29H50O2	430.70610	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C		
CHEBI:67595	sitoindoside I		C51H90O7	815.25610	CCCCCCCCCCCCCCCC(=O)OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@H]5[C@@H]4CC=C3C2)[C@H](C)CC[C@@H](CC)C(C)C)[C@H](O)[C@@H](O)[C@@H]1O		
CHEBI:67988	ginsenoside Rd		C48H82O18	947.15390	[H][C@@]1(CC[C@]2(C)[C@]1([H])[C@H](O)C[C@]1([H])[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@]3([H])CC[C@@]21C)[C@](C)(CCC=C(C)C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O		
CHEBI:67989	ginsenoside Rb1		C54H92O23	1109.29450	[H][C@@]1(CC[C@]2(C)[C@]1([H])[C@H](O)C[C@]1([H])[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@]3([H])CC[C@@]21C)[C@](C)(CCC=C(C)C)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O		
CHEBI:67990	(20R)-ginsenoside Rg3		C42H72O13	785.01330	[H][C@@]1(CC[C@]2(C)[C@]1([H])[C@H](O)C[C@]1([H])[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@]3([H])CC[C@@]21C)[C@](C)(O)CCC=C(C)C		
CHEBI:67991	(20S)-ginsenoside Rg3		C42H72O13	785.01330	[H][C@@]1(CC[C@]2(C)[C@]1([H])[C@H](O)C[C@]1([H])[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@]3([H])CC[C@@]21C)[C@@](C)(O)CCC=C(C)C		
CHEBI:68054	9alpha,11alpha-dihydroxyergosta-4,6,8(14),22-tetraen-3-one		C28H40O3	424.61540	[H][C@@]1(CCC2=C3C=CC4=CC(=O)CC[C@]4(C)[C@@]3(O)[C@H](O)C[C@]12C)[C@H](C)\C=C\[C@H](C)C(C)C		
CHEBI:68081	blazein		C29H48O3	444.68960	CO[C@@H]1C=C2[C@@H]3CC[C@H]([C@H](C)\C=C\[C@H](C)C(C)C)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@H](O)C[C@]12O		
CHEBI:68082	ganodesterone		C28H40O2	408.61600	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2C3=CC(=O)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:68083	cerevisterol		C28H46O3	430.66300	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2C3=C[C@@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:68388	methyl spongoate		C28H44O3	428.64720	[H][C@@]12CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@@H](CCCC(C)C)C(=O)OC)[C@@]4(C)CC[C@]3([H])[C@@]1(C)C=CC(=O)C2		
CHEBI:68395	24-methylenecholesta-1,4-dien-3-one		C28H42O	394.63250	CC(C)C(=C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:68396	(22E)-24nor-cholesta-1,4,22-trien-3-one		C26H38O	366.57930	CC(C)\C=C\[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:68398	cholesta-1,4,22-trien-3-one		C27H40O	380.60590	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)\C=C\CC(C)C		
CHEBI:68639	abiraterone acetate		C26H33NO2	391.54570	[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=CC[C@@]21[H])c1cccnc1)OC(C)=O		
CHEBI:68694	(22E,24R)-ergosta-7,22-diene-3beta,5alpha,6beta,9alpha-tetrol		C28H46O4	446.66240	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2C3=C[C@@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@@]3(O)CC[C@]12C		
CHEBI:68895	24-ethylcholesta-4,22-dien-3-one		C29H46O	410.67490	CCC(C(C)C)\C=C\[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:69017	physalin B		C28H30O9	510.53240	C[C@@]12OC(=O)[C@]3(O)CC[C@H]4[C@@H](CC=C5CC=CC(=O)[C@]45C)[C@@]45O[C@@]13[C@@H](C4=O)[C@]1(C)C[C@H]2OC(=O)[C@@H]1CO5		
CHEBI:69019	physalin F		C28H30O10	526.53180	C[C@@]12OC(=O)[C@]3(O)CC[C@H]4[C@@H](C[C@H]5O[C@]55CC=CC(=O)[C@]45C)[C@@]45O[C@@]13[C@@H](C4=O)[C@]1(C)C[C@H]2OC(=O)[C@@H]1CO5		
CHEBI:69111	withalongolide F		C27H36O4	424.57230	C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC=C4C=CC(=O)[C@]4(C)[C@H]3CC[C@]12C)[C@H]1CC(C)=C(CO)C(=O)O1		
CHEBI:69431	ergosta-4,6,8(14),22-tetraen-3-one	CHEBI:68084	C28H40O	392.61660	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CCC2=C3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:69435	4,4-dimethyl-5alpha-ergosta-8,24(28)-dien-3beta-ol		C30H50O	426.71740	CC(C)C(=C)CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3		
CHEBI:70016	(22E,24R)-ergosta-7,22-diene-3,6-dione		C28H42O2	410.63190	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2C3=CC(=O)[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:70110	cornusalterin B		C31H52O2	456.74340	COC(C)(C)\C=C\C[C@H](C)[C@@H]1CC[C@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C		
CHEBI:70310	zhankuic acid A methyl ester		C30H42O5	482.65150	COC(=O)C(C)C(=C)CC[C@@H](C)[C@H]1CC[C@H]2C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)[C@@H](C)[C@@H]1CC3=O		
CHEBI:70315	eburicol		C31H52O	440.745	C1[C@@]2(C=3CC[C@]4([C@](C3CC[C@]2(C([C@H](C1)O)(C)C)[H])(CC[C@@]4([C@H](C)CCC(C(C)C)=C)[H])C)C)C		
CHEBI:70332	7-nor-ergosterolide		C27H42O3	414.62060	CC(C)C(=C)CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1C(=O)O3		
CHEBI:70333	3beta,11alpha-dihydroxyergosta-8,24(28)-dien-7-one		C28H44O3	428.64720	CC(C)C(=C)CC[C@@H](C)[C@H]1CC[C@H]2C3=C([C@H](O)C[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3=O		
CHEBI:70334	3beta-hydroxyergosta-8,24(28)-dien-7-one		C28H44O2	412.64780	CC(C)C(=C)CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3=O		
CHEBI:70337	(22E,24R)-ergosta-7,22-diene-6beta-methoxy-3beta,5alpha-diol		C29H48O3	444.68960	CO[C@@H]1C=C2[C@@H]3CC[C@H]([C@H](C)\C=C\[C@H](C)C(C)C)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@H](O)C[C@]12O		
CHEBI:70338	(22E,24R)-ergosta-7,22-diene-3beta,6beta-diol		C28H46O2	414.66360	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2C3=C[C@@H](O)C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:70339	(22E,24R)-ergosta-5alpha,6alpha-epoxide-8,22-diene-3beta,7alpha-diol		C28H44O3	428.64720	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@]11O[C@H]1[C@H]3O		
CHEBI:71004	20,22-dihydrodigoxigenin		C23H36O5	392.52890	[H][C@]1(COC(=O)C1)[C@@]1([H])CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H](O)[C@]12C		
CHEBI:71016	ouabagenin		C23H34O8	438.51130	[H][C@@]12CC[C@]3(O)C[C@@H](O)C[C@@H](O)[C@]3(CO)[C@@]1([H])[C@H](O)C[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1		
CHEBI:71025	ulipristal acetate		C30H37NO4	475.61910	[H][C@@]12CCC3=CC(=O)CCC3=C1[C@H](C[C@@]1(C)[C@@]2([H])CC[C@]1(OC(C)=O)C(C)=O)c1ccc(cc1)N(C)C		
CHEBI:71187	3beta-hydroxy-4alpha-carboxysteroid		C20H31O3R	319.459	C12C(C3C(C(CC3)*)(C)CC1)CCC4C2(CC[C@@H]([C@H]4C(O)=O)O)C		
CHEBI:71581	4alpha-methyl-5alpha-cholest-8(14)-en-3beta-ol		C28H48O	400.68010	[H][C@@]1(CCC2=C3CC[C@@]4([H])[C@H](C)[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C		
CHEBI:71614	(25R)-Delta(7)-dafachronic acid		C27H42O3	414.62060	[H][C@@]12CC=C3[C@]([H])(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCC[C@@H](C)C(O)=O)[C@@]1(C)CCC(=O)C2		
CHEBI:71676	esculeogenin A		C27H45NO4	447.65050	[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])C[C@]3([H])O[C@@]5(NC[C@@H](CO)C[C@@H]5O)[C@@H](C)[C@]43[H])[C@@]1(C)CC[C@H](O)C2		
CHEBI:71824	pennogenin		C27H42O4	430.62000	[H][C@]12C[C@@]3([H])[C@]4([H])CC=C5C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1(O)[C@H](C)[C@@]1(CC[C@@H](C)CO1)O2		
CHEBI:72331	(22S)-22-hydroxycampesterol		C28H48O2	416.67950	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)[C@@H](O)C[C@@H](C)C(C)C		
CHEBI:72477	halistanol sulfonic acid F		C30H54O12S3	702.93800	[H][C@@]1(CC[C@@]2([H])[C@]3([H])C[C@H](OS(O)(=O)=O)[C@@]4([H])C[C@H](OS(O)(=O)=O)[C@H](C[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(C)C(C)(C)CC		
CHEBI:72479	halistanol sulfonic acid G		C28H50O12S3	674.88400	[H][C@@]1(CC[C@@]2([H])[C@]3([H])C[C@H](OS(O)(=O)=O)[C@@]4([H])C[C@H](OS(O)(=O)=O)[C@H](C[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CC[C@H](C)C(C)C		
CHEBI:72849	agigenin		C27H44O5	448.63530	[H][C@]12C[C@@]3([H])[C@]4([H])C[C@@H](O)[C@@]5([H])C[C@@H](O)[C@H](O)C[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@H](C)CO1)O2		
CHEBI:73390	promegestone	CHEBI:34933	C22H30O2	326.47240	[H][C@@]12CCC3=CC(=O)CCC3=C1CC[C@@]1(C)[C@@]2([H])CC[C@]1(C)C(=O)CC		
CHEBI:73906	18-acetoxy-1alpha-hydroxyvitamin D3		C29H46O4	458.67310	[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12COC(C)=O)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C		
CHEBI:73917	18-acetoxy-1alpha,25-dihydroxyvitamin D3		C29H46O5	474.67250	[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12COC(C)=O)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)CCCC(C)(C)O		
CHEBI:73923	(24R)-1alpha,24-dihydroxy-22-oxavitamin D3		C26H42O4	418.60930	[H][C@@]1(CC[C@]2([H])[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C)[C@H](C)OC[C@H](O)C(C)C		
CHEBI:73927	1alpha,25-dihydroxy-2beta-(3-hydroxypropoxy)vitamin D3		C30H50O5	490.71500	[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)[C@@H](OCCCO)[C@H](O)C1=C)[C@H](C)CCCC(C)(C)O		
CHEBI:73929	1alpha,25-dihydroxy-2beta-(4-hydroxybutoxy)vitamin D3		C31H52O5	504.74160	[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)[C@@H](OCCCCO)[C@H](O)C1=C)[C@H](C)CCCC(C)(C)O		
CHEBI:75172	formestane		C19H26O3	302.40790	[H][C@@]12CCC3=C(O)C(=O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H]		
CHEBI:75308	19-oxotestosterone	CHEBI:800	C19H26O3	302.40790	[H][C@@]12CCC3=CC(=O)CC[C@]3(C=O)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H]		
CHEBI:75950	(20S)-protopanaxadiol		C30H52O3	460.73210	CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]21C		
CHEBI:75951	protopanaxatriol		C30H52O4	476.73150	CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O)C[C@@]21C		
CHEBI:76237	(20R)-protopanaxadiol		C30H52O3	460.73210	CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]21C		
CHEBI:76238	protopanaxadiol		C30H52O3	460.73210	CC(C)=CCCC(C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]21C		
CHEBI:76591	(25R)-cholest-5-ene-3beta,26-diol		C27H46O2	402.65290	C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:76592	(25R)-7alpha,26-dihydroxycholesterol		C27H46O3	418.65230	C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:77006	17beta-estradiol 3-benzoate		C25H28O3	376.48800	C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)c5ccccc5)ccc34)[C@@H]1CC[C@@H]2O		
CHEBI:77166	3-oxo-Delta(1),Delta(4)-steroid		C19H25OR	269.402	C12(C=CC(C=C1CCC3C2CCC4(C3CCC4*)C)=O)C		
CHEBI:77691	(3beta,5alpha)-ergosta-8,22-dien-3-ol		C28H46O	398.66420	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3		
CHEBI:77845	7-aminocholesterol		C27H47NO	401.66820	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(N)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:77920	(24S)-24-hydroxycholesterol 3-hexanoate		C33H56O3	500.79590	CCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@H](CC[C@H]4[C@@H]3CC=C2C1)[C@H](C)CC[C@H](O)C(C)C		
CHEBI:78594	5alpha-pregan-20beta-ol-3-one		C21H34O2	318.49350	C[C@@H](O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:78601	11,21-dioxoprogesterone		C21H26O4	342.42870	C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)C=O		
CHEBI:78666	5beta-pregnan-20alpha-ol-3-one		C21H34O2	318.494	C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC[C@@]2(CC(C1)=O)[H])[H])(CC[C@]4([H])[C@@H](O)C)[H])C)[H])C		
CHEBI:78699	Delta(7)-dafachronic acid		C27H42O3	414.62060	C[C@H](CCCC(C)C(O)=O)[C@H]1CC[C@H]2C3=CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:78701	(5alpha)-3-oxocholestan-26-oic acid		C27H44O3	416.63650	C[C@H](CCCC(C)C(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:78904	4,4-dimethyl-8,14-cholestadien-3beta-ol		C29H48O	412.69080	CC(C)CCC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3		
CHEBI:79638	B-norcholest-4-en-3-one		C26H42O	370.621	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C		
CHEBI:79754	17beta-hydroxy-4alpha-methyl-5alpha-androstan-3-one		C20H32O2	304.468	[C@@]12([C@@]([C@@]3([C@]([C@@H](C(CC3)=O)C)(CC1)[H])C)(CC[C@@]4([C@H](CC[C@@]24[H])O)C)[H])[H]		
CHEBI:79755	16beta-fluoro-17beta-hydroxyandrost-4-en-3-one propionate		C22H31FO3	362.47810	CCC(=O)O[C@H]1[C@@H](F)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:79759	17beta-hydroxyestr-5(10)-en-3-one		C18H26O2	274.39780	C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@@H]1CC[C@@H]2O		
CHEBI:79760	17beta-hydroxy-2alpha-methylestr-4-en-3-one		C19H28O2	288.42440	C[C@@H]1C[C@@H]2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCC2=CC1=O		
CHEBI:79761	17beta-hydroxy-2alpha,17-dimethylestr-4-en-3-one		C20H30O2	302.45100	C[C@@H]1C[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@]4(C)O)[C@@H]3CCC2=CC1=O		
CHEBI:79762	5beta-pregn-11-ene-3,20-dione		C21H30O2	314.46170	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3C=C[C@]12C		
CHEBI:79767	16beta-methylpregn-4-ene-3,20-dione		C22H32O2	328.48830	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1C(C)=O		
CHEBI:79769	(17Z)-3,11-dioxopregna-4,17(20)-dien-21-oic acid methyl ester		C22H28O4	356.45530	COC(=O)\C=C1\CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C		
CHEBI:79773	9-fluoro-2alpha-methylpregn-4-ene-3,11,20-trione		C22H29FO3	360.46230	C[C@@H]1C[C@@]2(C)C(CC[C@H]3[C@@H]4CC[C@H](C(C)=O)[C@@]4(C)CC(=O)[C@]23F)=CC1=O		
CHEBI:79774	3alpha,12alpha-dihydroxy-5beta-pregnan-20-one diacetate		C25H38O5	418.56620	CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@H]3[C@@H]4CC[C@H](C(C)=O)[C@@]4(C)[C@H](C[C@H]23)OC(C)=O)C1		
CHEBI:79775	17beta-hydroxy-5alpha-androst-1-en-3-one propionate		C22H32O3	344.48770	CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:79834	3beta-hydroxy-5alpha-androstane-7,17-dione		C19H28O3	304.430	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C[C@@]2([H])C[C@@H](O)CC[C@]12C		
CHEBI:79879	B-norcholesterol		C26H44O	372.637	[H][C@@]1(CC[C@@]2([H])[C@]3([H])C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C		
CHEBI:80401	(22R,23R)-22,23-dihydroxycampesterol		C28H48O3	432.689	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)C(C)C		
CHEBI:80532	3-dehydro-2-deoxyecdysone		C27H42O5	446.628	[H][C@@]1(CC[C@@]2(O)C3=CC(=O)[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)[C@H](O)CCC(C)(C)O		
CHEBI:80533	2,22-dideoxy-3-dehydroecdysone		C27H42O4	430.629	[H][C@@]1(CC[C@@]2(O)C3=CC(=O)[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)(C)O		
CHEBI:80798	bufadienolide		C24H34O2	354.52560	C[C@]12CC[C@H]3[C@@H](CCC4CCCC[C@]34C)[C@H]1CC[C@@H]2c1ccc(=O)oc1		
CHEBI:81013	7alpha,25-dihydroxy-4-cholesten-3-one		C27H44O3	416.637	[C@]12([C@]([C@]3([C@](CC1)([C@@]4(C(=CC(CC4)=O)C[C@H]3O)C)[H])[H])(CC[C@@]2([C@@H](CCCC(O)(C)C)C)[H])[H])C		
CHEBI:81467	7alpha-hydroxypregnenolone		C21H32O3	332.478	C1[C@@]2([C@]3(CC[C@]4(C)[C@@H](C(C)=O)CC[C@]4([C@@]3([C@@H](C=C2C[C@H](C1)O)O)[H])[H])[H])C		
CHEBI:81471	7alpha-hydroxydehydroepiandrosterone		C19H28O3	304.425	[C@@H]1([C@@]2([C@@]([C@@]3(C(C[C@@H](O)CC3)=C1)C)(CC[C@]4([C@]2(CCC4=O)[H])C)[H])[H])O		
CHEBI:82678	3beta-hydroxy-7-oxo-5beta-cholan-24-oic acid		C24H38O4	390.55610	C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@H]1CC3=O		
CHEBI:82869	(24S)-24-hydroxycholesterol ester		C28H45O3R	429.65510	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC([*])=O		
CHEBI:82875	(24S)-24-hydroxycholesterol 3-linoleoate		C45H76O3	665.08310	CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@H](CC[C@H]4[C@@H]3CC=C2C1)[C@H](C)CC[C@H](O)C(C)C		
CHEBI:82961	17beta-estradiol 17-glucosiduronate		C24H31O8	447.49870	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C([O-])=O		
CHEBI:83037	androsterone sulfate		C19H30O5S	370.505	C1[C@@]2([C@@]([C@@]3([C@](C[C@H](OS(O)(=O)=O)CC3)(C1)[H])C)(CC[C@@]4(C(CC[C@@]24[H])=O)C)[H])[H]		
CHEBI:83040	epiandrosterone sulfate		C19H30O5S	370.505	C1[C@@]2([C@@]([C@@]3([C@](C[C@@H](OS(O)(=O)=O)CC3)(C1)[H])C)(CC[C@@]4(C(CC[C@@]24[H])=O)C)[H])[H]		
CHEBI:83149	(25S)-3alpha-hydroxy-5alpha-cholest-7-en-26-oic acid		C27H44O3	416.63650	C[C@H](CCC[C@H](C)C(O)=O)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:83746	3-ketocholest-4-en-26-al		C27H42O2	398.62120	CC(CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C=O		
CHEBI:83776	3-oxo-23,24-bisnorchol-4-en-22-oic acid		C22H32O3	344.48770	C[C@@H]([C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(O)=O		
CHEBI:83860	(25S)-26-hydroxycholest-4-en-3-one		C27H44O2	400.63710	C[C@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:83861	(25R)-26-hydroxycholest-4-en-3-one		C27H44O2	400.63710	C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C		
CHEBI:83862	(25R)-3-ketocholest-4-en-26-al		C27H42O2	398.62120	C[C@H](CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C=O		
CHEBI:83863	(25S)-3-ketocholest-4-en-26-al		C27H42O2	398.62120	C[C@@H](CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C=O		
CHEBI:83865	androst-5-ene-3,17-dione		C19H26O2	286.40850	C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@]34C)[C@@H]1CCC2=O		
CHEBI:83977	(5beta)-bufadienolide		C24H34O2	354.52560	C[C@]12CC[C@H]3[C@@H](CC[C@@H]4CCCC[C@]34C)[C@H]1CC[C@@H]2c1ccc(=O)oc1		
