ID	NAME	SECONDARY ID	FORMULA	MASS	SMILES	PDB ACCESSION
CHEBI:145340	3beta-hydroxy-5alpha-ergosta-7,24(28)-diene-4alpha-carboxylic acid		C29H46O3	442.684	C1[C@@]2([C@]3(CC[C@]4([C@](C3=CC[C@]2([C@@H]([C@H](C1)O)C(=O)O)[H])(CC[C@@]4([C@@H](CCC(C(C)C)=C)C)[H])[H])C)[H])C		
CHEBI:1624	3-oxo-5beta-steroid	CHEBI:13602	C19H29OR	273.434	C12C(C3C(C(CC3)*)(C)CC1)CC[C@]4(C2(CCC(C4)=O)C)[H]		
CHEBI:1722	3beta-hydroxy-Delta(5)-steroid	CHEBI:13608; CHEBI:136845; CHEBI:20245	C19H29OR	273.434	C12C(C3C(C(CC3)*)(C)CC1)CC=C4C2(CC[C@@H](C4)O)C		
CHEBI:3663	cholesteryl palmitate	CHEBI:84319	C43H76O2	625.06234	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCCCC)[C@H](C)CCCC(C)C		
CHEBI:4315	danazol	CHEBI:505364; CHEBI:554019	C22H27NO2	337.45532	[H][C@@]12CCC3=Cc4oncc4C[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@@]1(O)C#C		
CHEBI:4453	desogestrel		C22H30O	310.47300	[H][C@]12CCCC=C1CC[C@@]1([H])[C@]3([H])CC[C@@](O)(C#C)[C@@]3(CC)CC(=C)[C@]21[H]		
CHEBI:4591	dihydrotachysterol		C28H46O	398.66424	[H][C@@]1(CC[C@]2([H])[C@]1(C)CCC\C2=C/C=C1\C[C@@H](O)CC[C@@H]1C)[C@H](C)\C=C\[C@H](C)C(C)C		
CHEBI:4712	doxercalciferol		C28H44O2	412.649	C1[C@]2([C@](/C(=C/C=C/3\C([C@H](C[C@@H](C3)O)O)=C)/CC1)(CC[C@@]2([C@H](C)/C=C/[C@@H](C(C)C)C)[H])[H])C		
CHEBI:4903	17alpha-ethynylestradiol		C20H24O2	296.40336	[H][C@]12CC[C@@]3(C)[C@@]([H])(CC[C@@]3(O)C#C)[C@]1([H])CCc1cc(O)ccc21		
CHEBI:7907	pancuronium	CHEBI:406486	C35H60N2O4	572.86190	[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@@]([H])(OC(C)=O)[C@H](C[C@@]34[H])[N+]3(C)CCCCC3)[C@@]1(C)C[C@@H]([C@H](C2)OC(C)=O)[N+]1(C)CCCCC1		
CHEBI:7931	paricalcitol		C27H44O3	416.63646	[H][C@@]1(CC[C@]2([H])[C@]1(C)CCC\C2=C/C=C1C[C@@H](O)C[C@H](O)C1)[C@H](C)\C=C\[C@H](C)C(C)(C)O		
CHEBI:8379	prednisolone sodium phosphate		C21H27O8P.2Na; C21H27O8P.Na.Na	484.392	C[C@@]12C[C@@H]([C@]3([C@]([C@]2([H])CC[C@@]1(C(COP(=O)([O-])[O-])=O)O)(CCC=4[C@]3(C)C=CC(C4)=O)[H])[H])O.[Na+].[Na+]		
CHEBI:8386	pregnane		C21H36	288.51054	[H][C@]1(CC)CC[C@@]2([H])[C@]3([H])CCC4([H])CCCC[C@]4(C)[C@@]3([H])CC[C@]12C		
CHEBI:8716	quinestrol		C25H32O2	364.52038	[H][C@]12CC[C@@]3(C)[C@@]([H])(CC[C@@]3(O)C#C)[C@]1([H])CCc1cc(OC3CCCC3)ccc21		
CHEBI:9463	testosterone cypionate		C27H40O3	412.60470	[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H](CC[C@@]21[H])OC(=O)CCC1CCCC1		
CHEBI:13601	3-oxo-5alpha-steroid	CHEBI:1622; CHEBI:20150	C19H29OR	273.434	C12C(C3C(C(CC3)*)(C)CC1)CC[C@@]4(C2(CCC(C4)=O)C)[H]		
CHEBI:13610	3beta-hydroxysterol ester	CHEBI:1727; CHEBI:20249	C20H30O2R2	302.452	C12C(C3C(C(CC3)*)(C)CC1)CCC4C2(CC[C@@H](C4)OC(*)=O)C		
CHEBI:15576	(24R)-24-methylcycloart-25-en-3beta-ol	CHEBI:10852; CHEBI:176	C31H52O	440.74398	[H][C@@]1(CC[C@@]2(C)[C@]3([H])CC[C@@]4([H])C(C)(C)[C@@H](O)CC[C@@]44C[C@@]34CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)=C		
CHEBI:15822	17alpha-estradiol 3-glucosiduronic acid	CHEBI:4863; CHEBI:14218; CHEBI:23962	C24H32O8	448.50610	[H][C@]12CC[C@]3(C)[C@H](O)CC[C@@]3([H])[C@]1([H])CCc1cc(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)ccc21		
CHEBI:15826	16alpha-hydroxyprogesterone	CHEBI:11332; CHEBI:777; CHEBI:19164	C21H30O3	330.46110	[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H]([C@H](O)C[C@@]21[H])C(C)=O		
CHEBI:15889	sterol	CHEBI:13688; CHEBI:15114; CHEBI:9266; CHEBI:26771	C19H31OR	275.450	C12C(C3C(C(CC3)*)(C)CC1)CCC4C2(CCC(C4)O)C		
CHEBI:15938	pregnan-21-ol	CHEBI:8385; CHEBI:14880; CHEBI:26231	C21H36O	304.50994	[H][C@@]12CCC3CCCC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H](CCO)CC[C@@]21[H]		
CHEBI:16129	17alpha-(N-acetyl-D-glucosaminyl)estradiol 3-glucosiduronic acid	CHEBI:11338; CHEBI:787; CHEBI:19171	C32H45NO13	651.69860	[H][C@]12CC[C@]3(C)[C@@H](CC[C@@]3([H])[C@]1([H])CCc1cc(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)ccc21)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O		
CHEBI:16312	3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanic acid	CHEBI:20227; CHEBI:1703; CHEBI:20228	C24H38O5	406.55552	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC(=O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(O)=O		
CHEBI:16495	4alpha-methyllathosterone	CHEBI:12049; CHEBI:71571; CHEBI:20487; CHEBI:1947	C28H46O	398.66420	[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@H](C)C(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C		
CHEBI:16784	6beta-hydroxy-17beta-estradiol	CHEBI:12238; CHEBI:2242; CHEBI:20762	C18H24O3	288.38136	[H][C@]12CC[C@]3(C)[C@@H](O)CC[C@@]3([H])[C@]1([H])C[C@@H](O)c1cc(O)ccc21		
CHEBI:16799	16alpha-hydroxy steroid	CHEBI:13584; CHEBI:11333; CHEBI:778; CHEBI:19165	C19H31OR	275.450	C12C(C3C(C([C@@H](C3)O)*)(C)CC1)CCC4C2(CCCC4)C		
CHEBI:17002	cholesteryl ester	CHEBI:13983; CHEBI:23205; CHEBI:3660	C28H45O2R	413.65570	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC([*])=O)[C@H](C)CCCC(C)C		
CHEBI:17354	16beta-hydroxy steroid	CHEBI:11334; CHEBI:779; CHEBI:19166	C19H31OR	275.450	C12C(C3C(C([C@H](C3)O)*)(C)CC1)CCC4C2(CCCC4)C		
CHEBI:17639	3-oxo-5beta-cholanic acid	CHEBI:1623; CHEBI:20151; CHEBI:20152	C24H38O3	374.55672	[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCC(O)=O)[C@@]1(C)CCC(=O)C2		
CHEBI:17687	glycocholic acid	CHEBI:11894; CHEBI:42804; CHEBI:5464; CHEBI:24378; CHEBI:20215; CHEBI:29080	C26H43NO6; C26H43NO6	465.62270	C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C		
